user,uuid,ts,category,action,label,value
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304161,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304173,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304185,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304195,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304210,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304222,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304231,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304243,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304253,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304305,vis_29,/node_modules/vistorian-nodelink/web/index.html,Node,Click
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304724,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304998,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243305412,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
