usrID,logID,view,event,category,index,start,end,userSession,userID+session,session
2094,log_2,,Visit Page ,logging,2,205,206,1,2094_1,3
2094,dat_1,,New Network,data,0,226,227,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,272,273,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,290,291,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,295,296,1,2094_1,3
2094,hlp_8,,Tutorials,help,3,306,307,1,2094_1,3
2094,dat_1,,New Network,data,0,355,356,1,2094_1,3
2094,dat_2_LT,,Upload new Link table,data,0,495,496,1,2094_1,3
2094,dat_2,,upload data,data,0,641,642,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,730,731,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,841,842,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,863,864,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,989,990,1,2094_1,3
2094,vis_1,,Visualization Link,visualization,1,1168,1172,1,2094_1,3
2094,log_2,Node-Link,Visit Page Node-Link,logging,2,1171,1173,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,1487,1489,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,1493,1494,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,1496,1497,1,2094_1,3
2094,dat_1,,New Network,data,0,1500,1501,1,2094_1,3
2094,dat_2_LT,,Upload new Link table,data,0,1552,1553,1,2094_1,3
2094,dat_2,,upload data,data,0,1575,1576,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,1640,1641,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,1693,1694,1,2094_1,3
2094,vis_1,,Visualization Link,visualization,1,1728,1729,1,2094_1,3
2094,log_2,Node-Link,Visit Page Node-Link,logging,2,1729,1730,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,1759,1762,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,1767,1768,1,2094_1,3
2094,hlp_4,,Vis Example(s),help,3,1769,1770,1,2094_1,3
2094,log_2,Node-Link,Visit Page Node-Link,logging,2,1769,1770,1,2094_1,3
2094,vis_32,Node-Link,Link,visualization,1,1784,1785,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,1829,1830,1,2094_1,3
2094,dat_1,,New Network,data,0,1833,1834,1,2094_1,3
2094,dat_4,,x (delete),data,0,1853,1854,1,2094_1,3
2094,dat_4,,x (delete),data,0,1857,1858,1,2094_1,3
2094,dat_4,,x (delete),data,0,1861,1862,1,2094_1,3
2094,dat_4,,x (delete),data,0,1867,1868,1,2094_1,3
2094,dat_2_LT,,Upload new Link table,data,0,1895,1896,1,2094_1,3
2094,dat_2,,upload data,data,0,1910,1911,1,2094_1,3
2094,dat_2,,upload data,data,0,1921,1922,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,1948,1949,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,2016,2017,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,2033,2034,1,2094_1,3
2094,dat_2,,upload data,data,0,2047,2048,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,2056,2057,1,2094_1,3
2094,vis_1,,Visualization Link,visualization,1,2060,2061,1,2094_1,3
2094,log_2,Node-Link,Visit Page Node-Link,logging,2,2060,2061,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,2092,2095,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,2107,2108,1,2094_1,3
2094,hlp_4,,Vis Example(s),help,3,2109,2110,1,2094_1,3
2094,log_2,Node-Link,Visit Page Node-Link,logging,2,2110,2111,1,2094_1,3
